GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_560: Median total income in 2020 among recipients ($)
4620591.01,CT,0591.01,0.4872,2704,1098,1041,43200
4620591.02,CT,0591.02,0.6851,4117,1709,1659,41200
4620592.00,CT,0592.00,0.9578,7570,3219,3096,38400
4620593.01,CT,0593.01,1.0422,4862,2656,2586,38400
4620593.02,CT,0593.02,0.4852,4575,2065,1980,36800
4620594.01,CT,0594.01,0.4003,2848,1367,1336,34800
4620594.02,CT,0594.02,7.8918,7589,3490,3391,41200
4620600.01,CT,0600.01,0.7407,4022,1623,1585,35600
4620600.02,CT,0600.02,0.4129,4118,1795,1715,31600
4620600.03,CT,0600.03,0.6969,7091,2794,2642,33600
4620601.01,CT,0601.01,0.3211,3373,1386,1324,34000
4620601.02,CT,0601.02,0.4275,4827,2015,1939,35200
4620602.01,CT,0602.01,0.5394,3780,1676,1621,33600
4620602.02,CT,0602.02,0.6154,2794,1221,1168,32400
4620603.01,CT,0603.01,0.5328,3598,1543,1469,32800
4620603.02,CT,0603.02,0.6244,4252,1665,1583,32800
4620603.03,CT,0603.03,0.3558,3281,1372,1231,32400
4620604.01,CT,0604.01,0.9351,3550,1329,1290,38800
4620604.02,CT,0604.02,0.3408,4517,1800,1724,34800
4620604.03,CT,0604.03,0.4952,3012,1277,1227,34800
4620604.04,CT,0604.04,0.7591,3457,1385,1332,35200
4620604.05,CT,0604.05,0.5921,5279,1931,1883,36800
4620605.01,CT,0605.01,1.3507,3525,1672,1595,32400
4620605.02,CT,0605.02,0.5781,1997,749,731,38800
4620605.03,CT,0605.03,1.0307,5854,2475,2373,34800
4620605.04,CT,0605.04,1.5874,4898,1985,1914,36000
4620605.05,CT,0605.05,0.5718,2270,949,919,36400
4620610.01,CT,0610.01,0.9303,4777,2096,2002,32000
4620610.02,CT,0610.02,0.4617,4612,1943,1816,32000
4620610.03,CT,0610.03,0.7841,5684,2284,2185,34800
4620610.04,CT,0610.04,0.1946,3973,1840,1742,31600
4620610.05,CT,0610.05,0.3851,4856,2206,2106,30600
4620610.06,CT,0610.06,0.3429,2822,1170,1127,31800
4620610.07,CT,0610.07,0.5504,4659,1645,1553,28800
4620611.01,CT,0611.01,0.7077,3036,1247,1186,31800
4620611.02,CT,0611.02,0.5645,5839,2413,2315,32400
4620612.00,CT,0612.00,0.7476,4813,2000,1922,32400
4620613.00,CT,0613.00,0.9911,7813,3312,3146,32400
4620614.00,CT,0614.00,0.4446,3827,1814,1718,33200
4620615.00,CT,0615.00,0.56,5848,2441,2319,32400
4620616.00,CT,0616.00,0.7548,6896,2834,2695,32400
4620617.01,CT,0617.01,0.9045,5616,2268,2199,34000
4620617.02,CT,0617.02,0.6563,3904,1717,1627,36000
4620618.00,CT,0618.00,0.4987,3611,1782,1682,34000
4620619.00,CT,0619.00,0.5857,5885,3268,2989,32000
