GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_560: Median total income in 2020 among recipients ($)
4620254.00,CT,0254.00,0.6139,4029,1932,1826,31200
4620256.00,CT,0256.00,1.8427,3877,1660,1541,29400
4620257.00,CT,0257.00,1.3088,4500,1796,1701,28800
4620258.00,CT,0258.00,0.3957,5314,1929,1864,29200
4620259.00,CT,0259.00,0.3707,6349,2593,2472,29800
4620260.00,CT,0260.00,0.5357,2338,946,896,29800
4620261.00,CT,0261.00,0.6002,2858,1196,1138,30600
4620262.00,CT,0262.00,0.7679,4866,1932,1833,29800
4620263.00,CT,0263.00,0.7541,4135,1849,1746,30200
4620264.01,CT,0264.01,1.227,5369,2575,2462,43200
4620264.02,CT,0264.02,0.9124,5432,2741,2631,49200
4620265.00,CT,0265.00,0.4825,4561,2378,2212,41600
4620266.00,CT,0266.00,0.7529,3195,1809,1692,36000
4620267.00,CT,0267.00,1.1303,6463,2942,2750,32800
4620268.01,CT,0268.01,0.5748,6525,3068,2898,32000
4620268.02,CT,0268.02,0.3028,6170,2640,2541,34000
4620268.03,CT,0268.03,1.2723,489,430,279,43600
4620269.00,CT,0269.00,0.781,4521,2256,2138,35600
4620270.00,CT,0270.00,0.6802,4739,2659,2516,41200
4620271.00,CT,0271.00,0.4775,3477,1713,1637,48000
4620272.00,CT,0272.00,0.5024,3715,1922,1831,39600
4620273.00,CT,0273.00,0.5678,4752,2487,2263,39200
4620274.00,CT,0274.00,0.479,3133,1451,1380,33600
4620275.00,CT,0275.00,0.6185,4158,2189,2045,38400
4620276.00,CT,0276.00,0.8442,5123,2712,2570,39600
4620277.00,CT,0277.00,0.5596,4350,2223,2089,37200
4620278.00,CT,0278.00,0.5892,4229,2219,2084,42800
4620279.00,CT,0279.00,0.9392,4954,2362,2220,44400
4620280.00,CT,0280.00,0.593,4621,2259,2164,42800
4620281.00,CT,0281.00,1.0842,3756,1801,1471,52800
4620282.00,CT,0282.00,1.3292,6549,2930,2788,34000
4620283.01,CT,0283.01,0.6084,4058,1444,1372,32400
4620283.02,CT,0283.02,0.4694,2891,1291,1224,31600
4620284.00,CT,0284.00,0.5813,3489,1680,1587,34400
4620285.00,CT,0285.00,1.5073,6335,2467,2326,35600
4620286.00,CT,0286.00,0.7929,5433,2115,2018,32400
4620287.01,CT,0287.01,0.5355,6636,3344,3147,32400
4620287.02,CT,0287.02,1.0997,4740,1862,1774,36400
4620288.00,CT,0288.00,1.856,1473,417,408,58800
4620290.01,CT,0290.01,1.2041,2713,1069,1043,40000
4620290.02,CT,0290.02,1.7995,5711,2272,2228,35600
4620290.03,CT,0290.03,0.639,4263,1845,1785,36400
4620290.04,CT,0290.04,2.8282,6876,2582,2517,37600
4620290.05,CT,0290.05,2.2018,5156,2467,2329,34800
4620290.06,CT,0290.06,0.8961,5326,2083,2024,34800
4620290.07,CT,0290.07,0.5827,4010,1614,1580,36800
4620290.08,CT,0290.08,1.122,4111,1580,1538,39200
4620290.09,CT,0290.09,1.0664,4930,1835,1781,35600
4620291.01,CT,0291.01,0.9801,3900,1408,1385,37600
4620291.03,CT,0291.03,6.9128,5854,1989,1954,47600
4620291.04,CT,0291.04,3.2058,5222,1482,1469,46400
4620300.00,CT,0300.00,0.5171,2797,1466,1361,32800
4620301.00,CT,0301.00,0.4194,5191,2836,2709,41600
4620302.00,CT,0302.00,0.2063,2923,1686,1563,40000
4620303.00,CT,0303.00,0.2622,2376,1398,1279,40400
4620304.00,CT,0304.00,0.2681,3191,1866,1754,38800
4620305.00,CT,0305.00,0.35,3973,2347,2215,41600
4620306.00,CT,0306.00,0.2248,2781,1616,1508,38400
4620307.00,CT,0307.00,0.1737,3032,1735,1636,37200
4620308.00,CT,0308.00,0.1739,2688,1470,1377,38400
4620309.00,CT,0309.00,0.184,1352,661,627,43200
4620310.00,CT,0310.00,0.4268,3393,1680,1599,43600
4620311.00,CT,0311.00,0.3568,4092,2192,2047,38000
